0.0000 1 1 0.0002
0.0001 1.6703 1.6703 0
0.0002 1.8911 1.8911 0.0008
0.0003 1.9643 1.9643 0.0002
0.0004 1.9878 1.9878 0.0001
0.0005 1.9961 1.9961 0
0.0006 1.9993 1.9993 0
0.0007 2.0002 2.0002 0
0.0008 2.0003 2.0003 0.0001
0.0009 2.0004 2.0004 0
0.0010 2.0005 2.0005 0
0.0011 2.0008 2.0008 0.0002
0.0012 2.0014 2.0014 0
0.0013 2.0018 2.0018 0.0003
0.0014 2.0021 2.0021 0.0002
0.0015 2.0025 2.0025 0.0001
0.0016 2.0029 2.0031 0.0002
0.0017 2.0031 2.0032 0.0001
0.0018 2.0037 2.0038 0
0.0019 2.0048 2.0049 0
0.0020 2.0056 2.0061 0
0.0021 2.0062 2.0071 0
0.0022 2.0063 2.0074 0
0.0023 2.0071 2.0086 0
0.0024 2.0073 2.0094 0
0.0025 2.0082 2.0105 0
0.0026 2.0095 2.0131 0
0.0027 2.0105 2.0147 0.0001
0.0028 2.0127 2.0183 0.0002
0.0029 2.014 2.0219 0
0.0030 2.0151 2.0251 0
0.0031 2.0166 2.0289 0.0002
0.0032 2.0183 2.034 0.0002
0.0033 2.02 2.0382 0
0.0034 2.0215 2.0442 0
0.0035 2.023 2.0506 0
0.0036 2.0247 2.059 0
0.0037 2.0265 2.0702 0
0.0038 2.0279 2.0793 0
0.0039 2.0301 2.0934 0
0.0040 2.0318 2.104 0.0002
0.0041 2.0349 2.1208 0
0.0042 2.0383 2.1387 0
0.0043 2.0405 2.1544 0.0001
0.0044 2.0435 2.1784 0.0002
0.0045 2.0456 2.2027 0
0.0046 2.0493 2.2322 0.0002
0.0047 2.0524 2.2592 0
0.0048 2.0558 2.2901 0
0.0049 2.0595 2.3271 0.0003
0.0050 2.0643 2.3615 0
0.0051 2.0688 2.4005 0
0.0052 2.0727 2.4417 0
0.0053 2.0766 2.4922 0.0001
0.0054 2.0824 2.5457 0.0001
0.0055 2.0866 2.6045 0
0.0056 2.0902 2.6582 0.0001
0.0057 2.0959 2.7233 0.0002
0.0058 2.1001 2.7906 0
0.0059 2.1052 2.8577 0
0.0060 2.1106 2.9267 0.0001
0.0061 2.116 3.0066 0.0001
0.0062 2.1212 3.0908 0
0.0063 2.1258 3.1762 0
0.0064 2.1316 3.2671 0.0002
0.0065 2.1374 3.3599 0
0.0066 2.1433 3.4534 0.0002
0.0067 2.1504 3.5501 0
0.0068 2.157 3.6485 0.0001
0.0069 2.1653 3.7513 0
0.0070 2.172 3.8622 0.0001
0.0071 2.1792 3.974 0
0.0072 2.1861 4.0927 0.0005
0.0073 2.1922 4.215 0.0004
0.0074 2.1999 4.332 0
0.0075 2.2057 4.4468 0
0.0076 2.2149 4.5766 0.0001
0.0077 2.2231 4.7116 0
0.0078 2.2299 4.8495 0
0.0079 2.2372 4.9912 0
0.0080 2.2461 5.129 0
0.0081 2.2546 5.2627 0
0.0082 2.2633 5.3977 0
0.0083 2.2721 5.5447 0.0002
0.0084 2.2803 5.6855 0
0.0085 2.29 5.8348 0
0.0086 2.2976 5.9708 0
0.0087 2.3066 6.1232 0
0.0088 2.3158 6.2848 0.0001
0.0089 2.3243 6.44 0
0.0090 2.3335 6.5854 0
0.0091 2.3427 6.73 0
0.0092 2.3512 6.8737 0.0006
0.0093 2.3596 7.0292 0.0008
0.0094 2.3687 7.183 0.0001
0.0095 2.3784 7.3295 0
0.0096 2.3867 7.4888 0
0.0097 2.3958 7.6355 0
0.0098 2.4062 7.7666 0
0.0099 2.4146 7.9168 0
0.0100 2.4251 8.0595 0
0.0101 2.4348 8.2109 0
0.0102 2.444 8.3649 0.0001
0.0103 2.4534 8.5155 0
0.0104 2.4623 8.6558 0
0.0105 2.4721 8.8045 0
0.0106 2.4811 8.9691 0
0.0107 2.4908 9.1182 0
0.0108 2.4998 9.2726 0.0003
0.0109 2.5084 9.4303 0
0.0110 2.5185 9.5886 0
0.0111 2.5275 9.7288 0
0.0112 2.5377 9.866 0
0.0113 2.5468 10.0124 0
0.0114 2.5557 10.1487 0
0.0115 2.5649 10.2722 0.0001
0.0116 2.5744 10.4104 0
0.0117 2.5837 10.5514 0
0.0118 2.5915 10.6831 0
0.0119 2.6009 10.8278 0
0.0120 2.6105 10.9728 0
0.0121 2.6194 11.0924 0
0.0122 2.6262 11.2264 0
0.0123 2.6352 11.3506 0
0.0124 2.6439 11.4831 0
0.0125 2.6516 11.6261 0
0.0126 2.6602 11.7357 0
0.0127 2.6698 11.8662 0
0.0128 2.678 11.9949 0
0.0129 2.686 12.1137 0
0.0130 2.6943 12.2458 0
0.0131 2.7012 12.3409 0
0.0132 2.7106 12.4359 0
0.0133 2.7171 12.5337 0
0.0134 2.7241 12.6346 0
0.0135 2.733 12.7044 0
0.0136 2.7393 12.8075 0
0.0137 2.7474 12.9044 0
0.0138 2.7566 12.9742 0.0003
0.0139 2.7644 13.044 0
0.0140 2.7727 13.1331 0
0.0141 2.7784 13.1952 0
0.0142 2.7865 13.2843 0
0.0143 2.7943 13.3469 0
0.0144 2.801 13.4092 0
0.0145 2.8074 13.4779 0.0002
0.0146 2.8132 13.5637 0
0.0147 2.8201 13.6021 0
0.0148 2.827 13.6471 0
0.0149 2.8326 13.7232 0
0.0150 2.8374 13.808 0
0.0151 2.8428 13.8504 0
0.0152 2.8481 13.8981 0
0.0153 2.8538 13.9235 0
0.0154 2.8587 13.9875 0
0.0155 2.8635 14.027 0
0.0156 2.8691 14.0193 0
0.0157 2.8756 14.0386 0
0.0158 2.8809 14.0719 0
0.0159 2.8851 14.0727 0
0.0160 2.8885 14.0739 0
0.0161 2.8925 14.0709 0
0.0162 2.8962 14.0941 0
0.0163 2.9008 14.1043 0
0.0164 2.9036 14.1149 0
0.0165 2.909 14.1516 0
0.0166 2.9118 14.1345 0
0.0167 2.9149 14.0898 0
0.0168 2.9186 14.0777 0
0.0169 2.9222 14.0404 0
0.0170 2.9251 14.0656 0
0.0171 2.9277 14.0431 0
0.0172 2.9313 14.0765 0
0.0173 2.9342 14.089 0
0.0174 2.9373 14.039 0
0.0175 2.9398 14.0176 0
0.0176 2.9433 13.9804 0
0.0177 2.9456 14.0255 0
0.0178 2.948 13.9799 0
0.0179 2.9511 13.9274 0
0.0180 2.9537 13.9082 0
0.0181 2.9568 13.8448 0
0.0182 2.959 13.7795 0
0.0183 2.9614 13.7397 0
