C125.9 0 50240 35944 36002
C250.9 0 1082441593 899367509 896280813
C2000.5 0 18189648267 17989938834 17391112311
DSJC500_5 1 1153043 1137058 1079292
DSJC1000_5 1 76981458 76074857 74000753
p_hat300-1 2 1480 1476 1482
p_hat300-2 2 4256 4094 3978
p_hat300-3 2 624947 580590 684971
p_hat500-1 2 9777 9710 9721
p_hat500-2 2 114009 108253 111633
p_hat500-3 2 39260458 36758737 83083509
p_hat700-1 2 26649 26501 28340
p_hat700-2 2 750903 718847 1545467
p_hat700-3 2 282412276 269205226 915400972
p_hat1000-1 2 176576 175952 177849
p_hat1000-2 2 34473978 32684213 45202469
p_hat1000-3 2 130317818368 122240266667 406211158349
p_hat1500-1 2 1184526 1180728 1034802
p_hat1500-2 2 2006796270 1886450274 2923848627
brock200_1 3 524723 491941 459322
brock200_2 3 3826 3764 4280
brock200_3 3 14565 14261 14075
brock200_4 3 58730 56627 48844
brock400_1 3 198359829 192406607 169106033
brock400_2 3 145597994 136235636 179119447
brock400_3 3 120230513 113327247 111515701
brock400_4 3 54440888 50173487 105128837
brock800_1 3 2227634634 2167522275 2330237037
brock800_2 3 2235803416 2174672640 2168940418
brock800_3 3 2146717172 2088315025 1721709923
brock800_4 3 640444536 627055895 600481487
gen200_p0.9_44 4 1774374 1422340 1548876
gen200_p0.9_55 4 170254 146826 146212
gen400_p0.9_55 4 2353914262613 1804881514049 NaN
gen400_p0.9_65 4 175757037249 104646869527 102048520368
gen400_p0.9_75 4 104883350585 37425149686 35746310173
san200_0.7_1 5 13399 13410 7025
san200_0.7_2 5 464 453 315
san200_0.9_1 5 87329 66420 65806
san200_0.9_2 5 229567 782513 727170
san200_0.9_3 5 6815145 4961218 5049578
san400_0.5_1 5 2453 2286 1701
san400_0.7_1 5 119356 112374 94813
san400_0.7_2 5 889125 799229 469367
san400_0.7_3 5 521410 472665 201509
san400_0.9_1 5 4536723 3574664 3351648
san1000 5 150725 148146 16447
sanr200_0.7 5 152882 146123 143364
sanr200_0.9 5 14921850 13656522 13018203
sanr400_0.5 5 320110 315265 298649
sanr400_0.7 5 64412015 61471431 60654743
frb30-15-1 6 292095125 258813865 253584941
frb30-15-2 6 557252809 455661049 235023959
frb30-15-3 6 167116178 134942036 131255792
frb30-15-4 6 991460271 844957831 535307925
frb30-15-5 6 282763799 225638468 228383572
frb35-17-1 6 13273030824 10972689623 5960475057
frb35-17-2 6 23358937783 19226384958 11406437596
frb35-17-3 6 8248153344 6664626258 8361892345
frb35-17-4 6 8850406216 7668017099 8465529994
frb35-17-5 6 58010454258 44404518241 41177628974
c-fat200-1 7 24 24 23
c-fat200-2 7 24 24 24
c-fat200-5 7 139 139 139
c-fat500-1 7 14 14 14
c-fat500-2 7 26 26 26
c-fat500-5 7 64 64 64
c-fat500-10 7 126 126 126
hamming6-2 8 32 32 32
hamming6-4 8 82 82 82
hamming8-2 8 128 128 128
hamming8-4 8 36452 36788 21876
hamming10-2 8 512 512 512
johnson8-2-4 9 24 24 23
johnson8-4-4 9 126 126 96
johnson16-2-4 9 256100 256100 227508
keller4 10 13725 13547 11537
keller5 10 50707104364 55182486681 35359147290
MANN_a9 11 71 71 71
MANN_a27 11 38019 38019 38019
MANN_a45 11 2851572 2851572 2851572
1KZKA_3KT2A_78 12 247 247 247
1allA_3dbjC_41 12 675 346 346
1f82A_1zb7A_5 12 716 712 712
2FDVC_1PO5A_83 12 1348 1319 1319
2UV8I_2J6IA_13107 12 4263 4469 4489
2W00B_3H1TA_10858 12 777428 35901104 35485327
2W4JA_2A2AD_0 12 890 889 889
3HRZA_2HR0A_476 12 934965 821629 821629
3P0KA_3GWLB_0 12 90 90 90
3ZY0D_3ZY1A_110 12 52 52 52
fail 0 1e15 1e15 1e15
